Competition,Rivalry,Lack of training,Politics,More opportunities,In house embryologist,Doing more number of cases
Enough qualified coverage,Methods of learning and improving daily,Mental well being. We are expected to work beyond our regular hours consistently,More financially suitable methods of becoming knowledgeable and qualified,Better laws that force management to take better care of our mental well being,More opportunities to learn senior level techniques,To be the best embryologist in the United States and then the world
Quality standards,Burocracy,Investigation,Personalised treatments,Timetable,Salary,Biology
Workload,Lack of respect,Under appreciated,Under paid,Increase pay - bonus systems,Reduced work load,Large group lab director
Quality,Security,Good practice,Information,Less pressure,Good organized work,To improve my results
Lab organisation,Communication with clinicians,Balance between innovation and down to earth patient management,Recognition of professional standards,Cycles per embryologist standards,Allocating time for continued education,None
PGT,Fertilization,Artificial intelligence,Patient,More embriologist at the unit,Artificial intelligence,To be a chief embriologist
No small errors,Patient consulting,Pressure to perform always on 100%,Trying to balance my embryologist status in the clinic,Isolate the ART laboratory completely,Access to a user friendly software for data collection and analysis.,Lab manager-Lead embryologist
Stress,Workload,Qualification,Experienced personal,More training possibilities for trainies,Generalized payment conditions,Lab director
Clinicians,Workload,Continuous ejucation,Low salaries,Continuous training,Higher salaries,Academic recognition
Competition,Under staffed labs,Competition,Responsibility,Better salary,Right guidance by Lab directors,Lab director
"To be multiple-tasks (clinical consultation, management of a team, negociate with hospital management team, etc)",To always stay tuned in order to provide the best for patients,To be well-respected by gynecologist,To monitor every single process in the lab to have good results,No idea,No idea (sorry!),To be recognized in my country as a top embryologist. And maybe to have my own IVF lab one day
Staff are only qualified embryologist and technicians..,Recognition profesional,Certified embryologist in my country,More relación with patients,Rise salary,More staff,Director lab
HIGH WORKLOAD UNDER PRESSURE AND TIME LIMIT,LONG WORKING HOURS AND NOT HAVING WEEKENDS OFF,FEAR OF MAKING MISTAKES THAT CAN NOT BE UNDONE,NO SOCIAL LIFE BECAUSE OF WORKING HOURS,ADEQUATE NUMBER OF EMBRYOLOGIST ACCORDING TO INTERNATIONAL GUIDELINES,ADEQUATE SALARY,as a lab director i would like to be a guide for other junior embryologists
Technical equipment,Workload,stressful job,Error dere work,Time-laps system,Witnessing system,academic career
Witness,Traceability,Salary,Physical health,Regulable light and chairs,Witness systems,Dont know yet
Ratio cycles/embryologists,Regular distribution of workload,Formation/acreditation,Recognition,Recognition as health professionals,More personal less workload,"Coordinate a group of labs, develop a unique way to work for all of them, improve results"
to be always up to date,sometimes high workload,to be always up to date,to be always focused so no mistakes are made,enough staff,good communication between the staff,to know as much as possible about ART
Training,Avoiding contaminations,Status,Salary,Employer should support education,Enough staff members,Already reached
To always give his maximum in business,A high level of commitment to everything he does,to do best,to make everything go according to protocols,provide more staff,The best equipment for work,always be profesional and do the best
